Entry ID,Contest Name,Contest ID,Entry Fee,CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Instructions,,,,,,,,
3139512152,NBA Showdown $1K Quarter Jukebox [Just $0.25!]  (TOR vs CHA),124167076,$0.25 ,Pascal Siakam(21454023),Fred VanVleet(21454024),Scottie Barnes(21454030),LaMelo Ball(21454022),Gary Trent(21454027),PJ Washington(21454033),,SG/SF,Gary Trent Jr. (21453983),Gary Trent Jr.,21453983,CPT,10800,TOR@CHA 02/25/2022 07:00PM ET,TOR,30.25
3139512153,NBA Showdown $1K Quarter Jukebox [Just $0.25!]  (TOR vs CHA),124167076,$0.25 ,Pascal Siakam(21454023),Montrezl Harrell(21454032),Fred VanVleet(21454024),Terry Rozier(21454025),PJ Washington(21454033),Miles Bridges(21454026),,SG/SF,OG Anunoby (21453984),OG Anunoby,21453984,CPT,10500,TOR@CHA 02/25/2022 07:00PM ET,TOR,32.94
3139512154,NBA Showdown $1K Quarter Jukebox [Just $0.25!]  (TOR vs CHA),124167076,$0.25 ,Pascal Siakam(21454023),Montrezl Harrell(21454032),LaMelo Ball(21454022),Gary Trent(21454027),Miles Bridges(21454026),OG Anunoby(21454028),,PG,LaMelo Ball (21454022),LaMelo Ball,21454022,UTIL,10400,TOR@CHA 02/25/2022 07:00PM ET,CHA,44.74
3139512155,NBA Showdown $1K Quarter Jukebox [Just $0.25!]  (TOR vs CHA),124167076,$0.25 ,LaMelo Ball(21454022),Montrezl Harrell(21454032),Terry Rozier(21454025),Pascal Siakam(21454023),PJ Washington(21454033),Miles Bridges(21454026),,SG/SF,Kelly Oubre Jr. (21453985),Kelly Oubre Jr.,21453985,CPT,10200,TOR@CHA 02/25/2022 07:00PM ET,CHA,27.1
3139512156,NBA Showdown $1K Quarter Jukebox [Just $0.25!]  (TOR vs CHA),124167076,$0.25 ,Pascal Siakam(21454023),Montrezl Harrell(21454032),Fred VanVleet(21454024),Scottie Barnes(21454030),LaMelo Ball(21454022),PJ Washington(21454033),,PF/C,Pascal Siakam (21454023),Pascal Siakam,21454023,UTIL,10000,TOR@CHA 02/25/2022 07:00PM ET,TOR,44.31
3139512157,NBA Showdown $1K Quarter Jukebox [Just $0.25!]  (TOR vs CHA),124167076,$0.25 ,Pascal Siakam(21454023),Fred VanVleet(21454024),Scottie Barnes(21454030),Terry Rozier(21454025),PJ Washington(21454033),Miles Bridges(21454026),,SF/PF,Scottie Barnes (21453986),Scottie Barnes,21453986,CPT,9900,TOR@CHA 02/25/2022 07:00PM ET,TOR,32.03
3139512158,NBA Showdown $1K Quarter Jukebox [Just $0.25!]  (TOR vs CHA),124167076,$0.25 ,LaMelo Ball(21454022),Montrezl Harrell(21454032),Fred VanVleet(21454024),Pascal Siakam(21454023),PJ Washington(21454033),OG Anunoby(21454028),,PG/SG,Fred VanVleet (21454024),Fred VanVleet,21454024,UTIL,9600,TOR@CHA 02/25/2022 07:00PM ET,TOR,43.09
3139512159,NBA Showdown $1K Quarter Jukebox [Just $0.25!]  (TOR vs CHA),124167076,$0.25 ,Fred VanVleet(21454024),Montrezl Harrell(21454032),Terry Rozier(21454025),Pascal Siakam(21454023),Miles Bridges(21454026),OG Anunoby(21454028),,SF/PF,Gordon Hayward (21453987),Gordon Hayward,21453987,CPT,9600,TOR@CHA 02/25/2022 07:00PM ET,CHA,30.18
3139512201,NBA Showdown $2K And-One (TOR vs CHA),124167077,$1 ,Pascal Siakam(21454023),Fred VanVleet(21454024),LaMelo Ball(21454022),Chris Boucher(21454035),Miles Bridges(21454026),OG Anunoby(21454028),,C,Montrezl Harrell (21453988),Montrezl Harrell,21453988,CPT,9300,TOR@CHA 02/25/2022 07:00PM ET,CHA,27.78
3139512202,NBA Showdown $2K And-One (TOR vs CHA),124167077,$1 ,Pascal Siakam(21454023),Scottie Barnes(21454030),LaMelo Ball(21454022),Gary Trent(21454027),Miles Bridges(21454026),OG Anunoby(21454028),,PF/C,PJ Washington (21453989),PJ Washington,21453989,CPT,9000,TOR@CHA 02/25/2022 07:00PM ET,CHA,23.59
3139512203,NBA Showdown $2K And-One (TOR vs CHA),124167077,$1 ,Fred VanVleet(21454024),Montrezl Harrell(21454032),Scottie Barnes(21454030),LaMelo Ball(21454022),Pascal Siakam(21454023),OG Anunoby(21454028),,PG/SG,Terry Rozier (21454025),Terry Rozier,21454025,UTIL,8800,TOR@CHA 02/25/2022 07:00PM ET,CHA,34.4
3139512204,NBA Showdown $2K And-One (TOR vs CHA),124167077,$1 ,LaMelo Ball(21454022),Fred VanVleet(21454024),Scottie Barnes(21454030),Pascal Siakam(21454023),PJ Washington(21454033),OG Anunoby(21454028),,C,Mason Plumlee (21453990),Mason Plumlee,21453990,CPT,8700,TOR@CHA 02/25/2022 07:00PM ET,CHA,23.83
3139512205,NBA Showdown $2K And-One (TOR vs CHA),124167077,$1 ,Pascal Siakam(21454023),Fred VanVleet(21454024),LaMelo Ball(21454022),Terry Rozier(21454025),Khem Birch(21454041),Miles Bridges(21454026),,SF/PF,Miles Bridges (21454026),Miles Bridges,21454026,UTIL,8400,TOR@CHA 02/25/2022 07:00PM ET,CHA,38.48
3139512206,NBA Showdown $2K And-One (TOR vs CHA),124167077,$1 ,Pascal Siakam(21454023),Montrezl Harrell(21454032),Scottie Barnes(21454030),LaMelo Ball(21454022),Miles Bridges(21454026),OG Anunoby(21454028),,SG/SF,Gary Trent Jr. (21454027),Gary Trent Jr.,21454027,UTIL,7200,TOR@CHA 02/25/2022 07:00PM ET,TOR,30.25
3139512207,NBA Showdown $2K And-One (TOR vs CHA),124167077,$1 ,LaMelo Ball(21454022),Montrezl Harrell(21454032),Fred VanVleet(21454024),Gary Trent(21454027),Pascal Siakam(21454023),PJ Washington(21454033),,SG/SF,OG Anunoby (21454028),OG Anunoby,21454028,UTIL,7000,TOR@CHA 02/25/2022 07:00PM ET,TOR,32.94
3139512208,NBA Showdown $2K And-One (TOR vs CHA),124167077,$1 ,Pascal Siakam(21454023),Montrezl Harrell(21454032),Fred VanVleet(21454024),LaMelo Ball(21454022),Kelly Oubre(21454029),OG Anunoby(21454028),,PF,Chris Boucher (21453991),Chris Boucher,21453991,CPT,6900,TOR@CHA 02/25/2022 07:00PM ET,TOR,20.62
,,,,,,,,,,,SG/SF,Kelly Oubre Jr. (21454029),Kelly Oubre Jr.,21454029,UTIL,6800,TOR@CHA 02/25/2022 07:00PM ET,CHA,27.1
,,,,,,,,,,,SF/PF,Scottie Barnes (21454030),Scottie Barnes,21454030,UTIL,6600,TOR@CHA 02/25/2022 07:00PM ET,TOR,32.03
,,,,,,,,,,,SF/PF,Gordon Hayward (21454031),Gordon Hayward,21454031,UTIL,6400,TOR@CHA 02/25/2022 07:00PM ET,CHA,30.18
,,,,,,,,,,,C,Montrezl Harrell (21454032),Montrezl Harrell,21454032,UTIL,6200,TOR@CHA 02/25/2022 07:00PM ET,CHA,27.78
,,,,,,,,,,,PF/C,PJ Washington (21454033),PJ Washington,21454033,UTIL,6000,TOR@CHA 02/25/2022 07:00PM ET,CHA,23.59
,,,,,,,,,,,C,Mason Plumlee (21454034),Mason Plumlee,21454034,UTIL,5800,TOR@CHA 02/25/2022 07:00PM ET,CHA,23.83
,,,,,,,,,,,SG/SF,Cody Martin (21453992),Cody Martin,21453992,CPT,5400,TOR@CHA 02/25/2022 07:00PM ET,CHA,20.84
,,,,,,,,,,,PF/C,Thaddeus Young (21453993),Thaddeus Young,21453993,CPT,5100,TOR@CHA 02/25/2022 07:00PM ET,TOR,15.73
,,,,,,,,,,,PF,Chris Boucher (21454035),Chris Boucher,21454035,UTIL,4600,TOR@CHA 02/25/2022 07:00PM ET,TOR,20.62
,,,,,,,,,,,SG/SF,Cody Martin (21454036),Cody Martin,21454036,UTIL,3600,TOR@CHA 02/25/2022 07:00PM ET,CHA,20.84
,,,,,,,,,,,SF,Josh Hall (21453994),Josh Hall,21453994,CPT,3600,TOR@CHA 02/25/2022 07:00PM ET,TOR,0
,,,,,,,,,,,PF/C,Thaddeus Young (21454037),Thaddeus Young,21454037,UTIL,3400,TOR@CHA 02/25/2022 07:00PM ET,TOR,15.73
,,,,,,,,,,,PG/SG,James Bouknight (21453995),James Bouknight,21453995,CPT,3300,TOR@CHA 02/25/2022 07:00PM ET,CHA,9.02
,,,,,,,,,,,C,Precious Achiuwa (21453996),Precious Achiuwa,21453996,CPT,3000,TOR@CHA 02/25/2022 07:00PM ET,TOR,19.82
,,,,,,,,,,,C,Khem Birch (21453997),Khem Birch,21453997,CPT,2700,TOR@CHA 02/25/2022 07:00PM ET,TOR,14.58
,,,,,,,,,,,SF,Josh Hall (21454038),Josh Hall,21454038,UTIL,2400,TOR@CHA 02/25/2022 07:00PM ET,TOR,0
,,,,,,,,,,,PG/SG,James Bouknight (21454039),James Bouknight,21454039,UTIL,2200,TOR@CHA 02/25/2022 07:00PM ET,CHA,9.02
,,,,,,,,,,,C,Precious Achiuwa (21454040),Precious Achiuwa,21454040,UTIL,2000,TOR@CHA 02/25/2022 07:00PM ET,TOR,19.82
,,,,,,,,,,,C,Khem Birch (21454041),Khem Birch,21454041,UTIL,1800,TOR@CHA 02/25/2022 07:00PM ET,TOR,14.58
,,,,,,,,,,,PF,JT Thor (21453998),JT Thor,21453998,CPT,1800,TOR@CHA 02/25/2022 07:00PM ET,CHA,6.88
,,,,,,,,,,,C,Aron Baynes (21453999),Aron Baynes,21453999,CPT,1500,TOR@CHA 02/25/2022 07:00PM ET,TOR,0
,,,,,,,,,,,PG,Dalano Banton (21454000),Dalano Banton,21454000,CPT,1500,TOR@CHA 02/25/2022 07:00PM ET,TOR,9.77
,,,,,,,,,,,PG/SG,Jalen Crutcher (21454001),Jalen Crutcher,21454001,CPT,1500,TOR@CHA 02/25/2022 07:00PM ET,CHA,0
,,,,,,,,,,,PG,Malachi Flynn (21454002),Malachi Flynn,21454002,CPT,1500,TOR@CHA 02/25/2022 07:00PM ET,TOR,6.96
,,,,,,,,,,,C,Daniel Oturu (21454003),Daniel Oturu,21454003,CPT,1500,TOR@CHA 02/25/2022 07:00PM ET,TOR,6.42
,,,,,,,,,,,PF,Juwan Morgan (21454004),Juwan Morgan,21454004,CPT,1500,TOR@CHA 02/25/2022 07:00PM ET,TOR,12
,,,,,,,,,,,SG/SF,Yuta Watanabe (21454005),Yuta Watanabe,21454005,CPT,1500,TOR@CHA 02/25/2022 07:00PM ET,TOR,11.12
,,,,,,,,,,,C,Nick Richards (21454006),Nick Richards,21454006,CPT,1500,TOR@CHA 02/25/2022 07:00PM ET,CHA,7.44
,,,,,,,,,,,C,Kai Jones (21454007),Kai Jones,21454007,CPT,1500,TOR@CHA 02/25/2022 07:00PM ET,CHA,1.76
,,,,,,,,,,,SG,Svi Mykhailiuk (21454008),Svi Mykhailiuk,21454008,CPT,1500,TOR@CHA 02/25/2022 07:00PM ET,TOR,10.67
,,,,,,,,,,,SF/PF,Justin Champagnie (21454009),Justin Champagnie,21454009,CPT,1500,TOR@CHA 02/25/2022 07:00PM ET,TOR,6.25
,,,,,,,,,,,PG/SG,David Johnson (21454010),David Johnson,21454010,CPT,1500,TOR@CHA 02/25/2022 07:00PM ET,TOR,0
,,,,,,,,,,,SF,Arnoldas Kulboka (21454011),Arnoldas Kulboka,21454011,CPT,1500,TOR@CHA 02/25/2022 07:00PM ET,CHA,0
,,,,,,,,,,,SF,Sam Dekker (21454012),Sam Dekker,21454012,CPT,1500,TOR@CHA 02/25/2022 07:00PM ET,TOR,0
,,,,,,,,,,,SF,Isaac Bonga (21454013),Isaac Bonga,21454013,CPT,1500,TOR@CHA 02/25/2022 07:00PM ET,TOR,3.21
,,,,,,,,,,,SF,Alex Antetokounmpo (21454014),Alex Antetokounmpo,21454014,CPT,1500,TOR@CHA 02/25/2022 07:00PM ET,TOR,0
,,,,,,,,,,,SG,LiAngelo Ball (21454015),LiAngelo Ball,21454015,CPT,1500,TOR@CHA 02/25/2022 07:00PM ET,CHA,0
,,,,,,,,,,,PF,D.J. Wilson (21454016),D.J. Wilson,21454016,CPT,1500,TOR@CHA 02/25/2022 07:00PM ET,TOR,19.5
,,,,,,,,,,,PF,Jalen McDaniels (21454017),Jalen McDaniels,21454017,CPT,1500,TOR@CHA 02/25/2022 07:00PM ET,CHA,14.51
,,,,,,,,,,,PG/SG,D.J. Carton (21454018),D.J. Carton,21454018,CPT,1500,TOR@CHA 02/25/2022 07:00PM ET,CHA,0
,,,,,,,,,,,SG,Scottie Lewis (21454019),Scottie Lewis,21454019,CPT,1500,TOR@CHA 02/25/2022 07:00PM ET,CHA,2.25
,,,,,,,,,,,PG/SG,Ashton Hagans (21454020),Ashton Hagans,21454020,CPT,1500,TOR@CHA 02/25/2022 07:00PM ET,TOR,0
,,,,,,,,,,,SG,Breein Tyree (21454021),Breein Tyree,21454021,CPT,1500,TOR@CHA 02/25/2022 07:00PM ET,TOR,0
,,,,,,,,,,,PF,JT Thor (21454042),JT Thor,21454042,UTIL,1200,TOR@CHA 02/25/2022 07:00PM ET,CHA,6.88
,,,,,,,,,,,C,Aron Baynes (21454043),Aron Baynes,21454043,UTIL,1000,TOR@CHA 02/25/2022 07:00PM ET,TOR,0
,,,,,,,,,,,PG,Dalano Banton (21454044),Dalano Banton,21454044,UTIL,1000,TOR@CHA 02/25/2022 07:00PM ET,TOR,9.77
,,,,,,,,,,,PG/SG,Jalen Crutcher (21454045),Jalen Crutcher,21454045,UTIL,1000,TOR@CHA 02/25/2022 07:00PM ET,CHA,0
,,,,,,,,,,,PG,Malachi Flynn (21454046),Malachi Flynn,21454046,UTIL,1000,TOR@CHA 02/25/2022 07:00PM ET,TOR,6.96
,,,,,,,,,,,C,Daniel Oturu (21454047),Daniel Oturu,21454047,UTIL,1000,TOR@CHA 02/25/2022 07:00PM ET,TOR,6.42
,,,,,,,,,,,PF,Juwan Morgan (21454048),Juwan Morgan,21454048,UTIL,1000,TOR@CHA 02/25/2022 07:00PM ET,TOR,12
,,,,,,,,,,,SG/SF,Yuta Watanabe (21454049),Yuta Watanabe,21454049,UTIL,1000,TOR@CHA 02/25/2022 07:00PM ET,TOR,11.12
,,,,,,,,,,,C,Nick Richards (21454050),Nick Richards,21454050,UTIL,1000,TOR@CHA 02/25/2022 07:00PM ET,CHA,7.44
,,,,,,,,,,,C,Kai Jones (21454051),Kai Jones,21454051,UTIL,1000,TOR@CHA 02/25/2022 07:00PM ET,CHA,1.76
,,,,,,,,,,,SG,Svi Mykhailiuk (21454052),Svi Mykhailiuk,21454052,UTIL,1000,TOR@CHA 02/25/2022 07:00PM ET,TOR,10.67
,,,,,,,,,,,SF/PF,Justin Champagnie (21454053),Justin Champagnie,21454053,UTIL,1000,TOR@CHA 02/25/2022 07:00PM ET,TOR,6.25
,,,,,,,,,,,PG/SG,David Johnson (21454054),David Johnson,21454054,UTIL,1000,TOR@CHA 02/25/2022 07:00PM ET,TOR,0
,,,,,,,,,,,SF,Arnoldas Kulboka (21454055),Arnoldas Kulboka,21454055,UTIL,1000,TOR@CHA 02/25/2022 07:00PM ET,CHA,0
,,,,,,,,,,,SF,Sam Dekker (21454056),Sam Dekker,21454056,UTIL,1000,TOR@CHA 02/25/2022 07:00PM ET,TOR,0
,,,,,,,,,,,SF,Isaac Bonga (21454057),Isaac Bonga,21454057,UTIL,1000,TOR@CHA 02/25/2022 07:00PM ET,TOR,3.21
,,,,,,,,,,,SF,Alex Antetokounmpo (21454058),Alex Antetokounmpo,21454058,UTIL,1000,TOR@CHA 02/25/2022 07:00PM ET,TOR,0
,,,,,,,,,,,SG,LiAngelo Ball (21454059),LiAngelo Ball,21454059,UTIL,1000,TOR@CHA 02/25/2022 07:00PM ET,CHA,0
,,,,,,,,,,,PF,D.J. Wilson (21454060),D.J. Wilson,21454060,UTIL,1000,TOR@CHA 02/25/2022 07:00PM ET,TOR,19.5
,,,,,,,,,,,PF,Jalen McDaniels (21454061),Jalen McDaniels,21454061,UTIL,1000,TOR@CHA 02/25/2022 07:00PM ET,CHA,14.51
,,,,,,,,,,,PG/SG,D.J. Carton (21454062),D.J. Carton,21454062,UTIL,1000,TOR@CHA 02/25/2022 07:00PM ET,CHA,0
,,,,,,,,,,,SG,Scottie Lewis (21454063),Scottie Lewis,21454063,UTIL,1000,TOR@CHA 02/25/2022 07:00PM ET,CHA,2.25
,,,,,,,,,,,PG/SG,Ashton Hagans (21454064),Ashton Hagans,21454064,UTIL,1000,TOR@CHA 02/25/2022 07:00PM ET,TOR,0
,,,,,,,,,,,SG,Breein Tyree (21454065),Breein Tyree,21454065,UTIL,1000,TOR@CHA 02/25/2022 07:00PM ET,TOR,0
